,Time,Mkt-RF,SMB,HML,RMW,CMA,RF
244,198311,2.16,1.87,-0.72,-0.67,0.66,0.7
245,198312,-1.78,-0.45,1.73,1.64,1.27,0.73
246,198401,-1.92,-0.04,7.58,-0.89,2.92,0.76
247,198402,-4.82,-1.59,3.33,0.9,1.58,0.71
248,198403,0.63,-0.29,0.46,-0.96,1.17,0.73
249,198404,-0.51,-0.95,1.2,3.34,0.76,0.81
250,198405,-5.97,0.13,0.31,2.36,-0.46,0.78
251,198406,1.82,0.11,-2.66,3.17,-1.56,0.75
252,198407,-2.74,-2.22,0.36,3.55,-2.15,0.82
253,198408,10.28,-0.26,-1.82,-0.68,-0.92,0.83
254,198409,-0.8,-0.03,5.28,1.37,2.41,0.86
255,198410,-0.84,-1.44,0.45,1.18,-1.09,1.0
256,198411,-1.76,-1.02,4.06,0.72,2.06,0.73
257,198412,1.84,-0.65,-0.26,1.31,-1.36,0.64
258,198501,7.99,3.51,-5.35,-0.89,-3.41,0.65
259,198502,1.22,1.04,-0.1,1.29,1.06,0.58
260,198503,-0.84,-1.39,4.07,1.23,2.88,0.62
261,198504,-0.96,-0.1,3.72,1.55,0.71,0.72
262,198505,5.09,-2.31,-0.96,1.33,-1.49,0.66
263,198506,1.27,0.35,0.38,1.76,-0.77,0.55
264,198507,-0.74,2.87,-1.62,-0.42,-0.38,0.62
265,198508,-1.02,-0.29,2.32,-0.1,1.83,0.55
266,198509,-4.54,-1.8,1.29,1.14,1.64,0.6
267,198510,4.02,-1.5,0.75,0.89,-1.06,0.65
268,198511,6.48,0.02,-2.85,0.33,-2.32,0.61
269,198512,3.88,-0.41,-1.54,0.99,-1.8,0.65
270,198601,0.65,1.01,0.44,-2.0,-2.03,0.56
271,198602,7.13,-0.71,-0.72,1.06,-1.2,0.53
272,198603,4.88,-0.66,-0.39,1.21,0.92,0.6
273,198604,-1.31,2.84,-2.87,2.91,0.03,0.52
274,198605,4.62,-1.29,-0.21,2.13,1.08,0.49
275,198606,1.03,-0.89,1.28,1.8,0.87,0.52
276,198607,-6.45,-3.46,4.7,-0.54,0.84,0.52
277,198608,6.07,-4.35,3.51,-1.66,3.21,0.46
278,198609,-8.6,2.05,3.22,-0.08,3.71,0.45
279,198610,4.66,-2.33,-1.42,-0.05,1.0,0.46
280,198611,1.17,-1.88,-0.07,1.09,0.67,0.39
281,198612,-3.27,0.12,0.36,0.79,0.09,0.49
282,198701,12.47,-1.54,-3.16,0.17,-1.0,0.42
283,198702,4.39,3.4,-5.91,-0.76,-2.66,0.43
284,198703,1.64,0.28,1.61,1.36,4.14,0.47
285,198704,-2.11,-1.54,-0.39,-0.49,1.05,0.44
286,198705,0.11,-0.56,0.23,0.51,1.14,0.38
287,198706,3.94,-2.21,1.04,1.7,0.84,0.48
288,198707,3.85,-1.14,0.68,-0.61,1.61,0.46
289,198708,3.52,-0.94,-0.93,2.04,-1.61,0.47
290,198709,-2.59,0.38,0.27,-0.97,1.87,0.45
291,198710,-23.24,-8.07,4.24,2.04,2.34,0.6
292,198711,-7.77,2.85,2.95,-1.88,0.68,0.35
293,198712,6.81,0.06,-4.43,2.96,-2.42,0.39
294,198801,4.21,-0.51,5.01,-1.14,2.13,0.29
295,198802,4.75,3.32,-1.71,1.56,-0.01,0.46
296,198803,-2.27,6.25,0.73,-0.25,1.8,0.44
297,198804,0.56,1.16,1.67,-0.2,1.92,0.46
298,198805,-0.29,-2.56,2.42,-0.74,0.33,0.51
299,198806,4.79,2.16,-1.24,1.47,-3.37,0.49
300,198807,-1.25,-0.21,2.22,-0.58,1.52,0.51
301,198808,-3.31,-0.03,2.15,-0.82,1.76,0.59
302,198809,3.3,-1.36,-0.75,1.76,-0.61,0.62
303,198810,1.15,-2.95,2.05,1.3,1.03,0.61
304,198811,-2.29,-1.65,1.41,-0.28,1.62,0.57
305,198812,1.49,2.01,-1.69,0.69,-0.38,0.63
306,198901,6.1,-2.31,0.6,-0.95,0.14,0.55
307,198902,-2.25,2.71,1.01,-0.87,1.81,0.61
308,198903,1.57,0.68,0.58,0.05,0.72,0.67
309,198904,4.33,-0.78,-1.42,0.71,-0.57,0.67
310,198905,3.35,-0.01,-0.88,0.49,-0.08,0.79
311,198906,-1.35,-1.09,2.25,0.27,1.56,0.71
312,198907,7.2,-4.15,-2.79,1.98,-0.58,0.7
313,198908,1.44,0.48,0.6,0.39,-0.58,0.74
314,198909,-0.76,0.49,-1.27,1.4,0.5,0.65
315,198910,-3.67,-3.3,-1.11,0.11,-0.04,0.68
316,198911,1.03,-1.29,-1.09,-0.86,1.41,0.69
317,198912,1.16,-2.27,0.16,-0.07,1.42,0.61
318,199001,-7.85,-1.31,0.85,-1.17,1.35,0.57
319,199002,1.11,1.17,0.64,-0.03,-0.66,0.57
320,199003,1.83,1.62,-2.92,2.04,-1.02,0.64
321,199004,-3.36,-0.33,-2.59,1.78,-0.98,0.69
322,199005,8.42,-2.35,-3.83,1.57,-1.68,0.68
323,199006,-1.09,1.35,-1.93,-1.03,-0.39,0.63
324,199007,-1.9,-3.16,-0.03,-0.18,3.21,0.68
325,199008,-10.15,-3.87,1.64,-0.35,2.96,0.66
326,199009,-6.12,-3.74,0.64,0.06,3.67,0.6
327,199010,-1.92,-5.12,0.1,2.97,-0.3,0.68
328,199011,6.35,0.07,-3.1,0.65,-4.74,0.57
329,199012,2.46,0.67,-1.7,2.73,-1.89,0.6
330,199101,4.69,3.91,-1.6,1.28,-3.99,0.52
331,199102,7.19,3.94,-0.58,-0.2,-0.33,0.48
332,199103,2.65,3.83,-1.39,-0.53,-1.06,0.44
333,199104,-0.28,0.31,1.5,0.62,0.74,0.53
334,199105,3.65,0.14,-0.52,2.0,-2.43,0.47
335,199106,-4.94,0.24,1.15,1.79,0.65,0.42
336,199107,4.24,-0.96,-1.32,1.6,-1.36,0.49
337,199108,2.32,1.4,-0.78,0.84,-0.34,0.46
338,199109,-1.59,1.56,-1.08,-1.82,0.08,0.46
339,199110,1.29,0.91,-0.47,-1.7,-0.23,0.42
340,199111,-4.19,-0.83,-1.89,1.11,0.01,0.39
341,199112,10.84,-2.4,-4.17,3.55,-3.12,0.38
342,199201,-0.59,9.18,4.71,-1.32,3.2,0.34
343,199202,1.09,1.33,6.47,0.08,2.19,0.28
344,199203,-2.66,-0.93,3.56,-0.01,1.95,0.34
345,199204,1.07,-5.7,4.34,1.69,2.23,0.32
346,199205,0.3,0.21,1.19,-0.95,0.48,0.28
347,199206,-2.34,-2.73,3.24,-0.05,1.01,0.32
348,199207,3.77,-0.62,-0.56,1.3,-0.91,0.31
349,199208,-2.38,-0.42,-1.1,3.72,-1.65,0.26
350,199209,1.19,0.48,-0.26,1.64,-0.59,0.26
351,199210,1.02,2.07,-1.98,1.24,-0.79,0.23
352,199211,4.13,3.94,-1.35,-0.68,-1.59,0.23
353,199212,1.53,1.68,2.62,-0.48,0.84,0.28
